"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,"2015248","BRONX               ","26701",,"8","14","349.3","In Compliance ","1","55087","2","179.2","40.86829","-73.89982","Not Available","Van Cortlandt Village                                                      ","2032480001","Multifamily Housing","2636859","2015248","55077","None","158.6","248.6","RESERVOIR AVENUE    ","2691","528.5","158.6","248.6","10468"
"Yes","Yes",,"1016226","MANHATTAN","52",,"5","2","561.3","In Compliance ","1","215740","90","687.4","40.739644","-73.989654","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008490070","Office","2636863","1016226","248000","None","64.6","136.5","BROADWAY            ","915","1248.7","61.5","133.8","10010"
"No","Yes",,"1017588","MANHATTAN","82",,"5","4","561.6","In Compliance ","1","217317","78","1112.5","40.751001","-73.980615","Not Available","Murray Hill-Kips Bay                                                       ","1008690016","Office","2636864","1017588","274000","None","76.3","181.3","MADISON AVENUE      ","266","1674.1","Not Available","Not Available","10016"
"No","Yes",,"1015997","MANHATTAN","84",,"5","4","354","In Compliance ","1","92739","84","489","40.751443","-73.983845","Not Available","Midtown-Midtown South                                                      ","1008400023","Office","2636866","1015997","151040","None","70.8","154.7","WEST   38 STREET    ","29","843.1","67.2","150.9","10018"
"Yes","Yes",,"1030260","MANHATTAN","165",,"7","6","266.4","In Compliance ","1","104238","95","114.2","40.782227","-73.976157","Not Available","Upper West Side                                                            ","1011500037","Multifamily Housing","2637882","1030260","104238","None","61.3","92","WEST   79 STREET    ","112","380.6","61.3","91.8","10024"
"Yes","Yes",,"1064291","MANHATTAN","265",,"12","10","Not Available","In Compliance ","1","56850","Not Available","59.6","40.848068","-73.93945","1.38","Washington Heights South                                                   ","1021770018","Multifamily Housing","2636880","1064291","67680","ABS",,"Not Available","FT WASHINGTON AVENUE","385","Not Available","Not Available","Not Available","10033"
"Yes","Yes",,"3002734","BROOKLYN            ","7",,"2","33","271.5","In Compliance ","1","73032","Not Available","59.3","40.690398","-73.994295","4708.4","Brooklyn Heights-Cobble Hill                                               ","3002750001","Multifamily Housing","2637228","3002734","80566","Manual","72.3","94.5","CLINTON STREET      ","200","330.8","68.7","90.6","11201"
"No","Yes",,"1014771","MANHATTAN","87",,"4","3","486.5","In Compliance ","1","115895","Not Available","746.5","40.742082","-73.994807","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007970018","College/University","2637231","1014771","108125","None","143","321.8","WEST   21 STREET    ","133","1233","Not Available","Not Available","10011"
"Yes","Yes",,"1014758","MANHATTAN","87",,"4","3","304.6","In Compliance ","1","77437","Not Available","431.5","40.742101","-73.994901","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007960060","College/University","2637247","1014758","42217","None","219.1","483.8","WEST   21 STREET    ","136","736.1","Not Available","Not Available","10011"
"No","Yes",,"1001017","MANHATTAN","7",,"1","1","0","In Compliance ","1","289049","66","2468.9","40.70654","-74.009738","Not Available","Battery Park City-Lower Manhattan                                          ","1000430001","Office","2637355","1001017","341291","None","97.9","203.8","WALL STREET         ","44","2468.9","93.3","197.7","10005"
"No","Yes",,"1032216","MANHATTAN","173",,"7","6","255.7","In Compliance ","1","59408","86","63.7","40.787848","-73.973331","Not Available","Upper West Side                                                            ","1012170054","Multifamily Housing","2637904","1032216","59408","None","71.6","100","WEST   87 STREET    ","160","319.4","68.8","97.2","10024"
"No","Yes",,,"MANHATTAN","149",,"7","6","0","In Compliance ","1","89560","Not Available","1093.7","40.772443","-73.982443","Not Available","Lincoln Square                                                             ","1011320001","College/University","2637375","1028829","159040","None",,"Not Available","COLUMBUS AVENUE     ","106","1093.7","Not Available","Not Available","10023"
"No","Yes",,"1022558","MANHATTAN","113",,"5","3","337.7","In Compliance ","1","71741","46","355.2","40.754702","-73.987501","Not Available","Midtown-Midtown South                                                      ","1009930001","Office","2637424","1022558","79050","None","114.1","231","   7 AVENUE         ","561","692.9","107.9","225.7","10018"
"No","Yes",,"1085404","MANHATTAN","145",,"7","3","851.3","In Compliance ","2","1025320","70","643.8","40.770503","-73.985826","Not Available","Lincoln Square                                                             ","1011320020","Residence Hall/Dormitory","2637427","1028830","282506","None","84.2","145.8","WEST   60 STREET    ","155","1495.1","80.8","142.7","10023"
"No","Yes",,"1025183","MANHATTAN","133",,"4","3","1060.6","In Compliance ","1","150000","16","248.6","40.763084","-73.987968","Not Available","Clinton                                                                    ","1010410011","Multifamily Housing","2637474","1082646","150001","None","126.3","171.8","WEST   50 STREET    ","335","1309.2","118.5","163.7","10019"
"No","Yes",,"1034506","MANHATTAN","96",,"5","4","0","In Compliance ","1","389438","45","3446","40.75753","-73.977946","Not Available","Midtown-Midtown South                                                      ","1012640030","Office","2637481","1034506","396109","None","118.3","263.6","   5 AVENUE         ","600","3446","116.1","260.8","10020"
"Yes","Yes",,"1080443","MANHATTAN","11201",,"5","4","1928.4","In Compliance ","2","269346","1","748.8","40.765086","-73.974871","73.48","Midtown-Midtown South                                                      ","1012740006","Multifamily Housing","2637841","1080443","207773","ABS","175.9","271.4","CENTRAL PARK SOUTH  ","40","2677.2","169.4","265.4","10019"
"Yes","Yes",,"3058921","BROOKLYN            ","181",,"2","35","493.4","In Compliance ","1","137000","76","179.4","40.687261","-73.974093","Not Available","Fort Greene                                                                ","3021000072","Multifamily Housing","2637853","3058921","134500","None","84.9","122.7","LAFAYETTE AVENUE    ","101","672.7","Not Available","Not Available","11217"
"No","Yes",,"3001727","BROOKLYN            ","1",,"2","33","2754.5","In Compliance ","1","450503","29","833.7","40.697436","-73.992881","Not Available","Brooklyn Heights-Cobble Hill                                               ","3002320001","Multifamily Housing","2637863","3001727;3319420","546000","None","111","154.7","CLARK STREET        ","79","3588.2","Not Available","Not Available","11201"
"No","Yes",,"2002823","BRONX               ","18301",,"4","16","2083","In Compliance ","1","428360","24","857.8","40.830048","-73.920929","Not Available","East Concourse-Concourse Village                                           ","2024610094","Multifamily Housing","2637870","2002823","337575","None","128.4","197","GRAND CONCOURSE     ","1020","2940.8","115.1","183.4","10451"
"Yes","Yes",,"1042058","MANHATTAN","11402",,"8","4","261.1","In Compliance ","1","87968","82","116.9","40.765054","-73.967146","29.56","Upper East Side-Carnegie Hill                                              ","1013970066","Multifamily Housing","2637880","1042058","87968","ABS","71.9","109","EAST   63 STREET    ","116","378","68.6","105.3","10065"
"Yes","Yes",,"1028619","MANHATTAN","157",,"7","6","676.5","In Compliance ","1","178893","37","328.5","40.7766","-73.976889","32.93","Lincoln Square                                                             ","1011240042","Multifamily Housing","2637884","1028619","178893","ABS","89.5","139.8","WEST   72 STREET    ","12","1005.1","89.4","139.7","10023"
"No","Yes",,"1029650","MANHATTAN","153",,"7","6","246.8","In Compliance ","1","66917","51","108","40.776384","-73.980427","Not Available","Lincoln Square                                                             ","1011410039","Multifamily Housing","2637885","1029650","66917","None","85.2","129.8","WEST   70 STREET    ","120","354.8","83","127.6","10023"
"No","Yes",,"1001354","MANHATTAN","1501",,"1","1","252.1","In Compliance ","1","79422","46","135.3","40.711288","-74.006374","Not Available","Battery Park City-Lower Manhattan                                          ","1001000026","Multifamily Housing","2637893","1001354","79422","None","80.3","127.3","NASSAU STREET       ","138","387.4","76","122.7","10038"
"No","Yes",,"1001355","MANHATTAN","1501",,"1","1","353.3","In Compliance ","1","111685","79","123.8","40.711763","-74.006857","Not Available","Battery Park City-Lower Manhattan                                          ","1001010001","Multifamily Housing","2637895","1001355","111685","None","72.9","104.5","PARK ROW            ","36","477.1","69.4","100.5","10038"
"No","Yes",,"1014811","MANHATTAN","91",,"4","3","243.3","In Compliance ","1","127000","80","230.7","40.74349","-73.994211","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007980071","Multifamily Housing","2637898","1014811","127000","None","58","106.6","WEST   23 STREET    ","148","474","57.8","106.2","10011"
"Yes","Yes",,"1030264","MANHATTAN","165",,"7","6","185.9","In Compliance ","1","70080","96","88.5","40.782551","-73.97693","Not Available","Upper West Side                                                            ","1011500055","Multifamily Housing","2637902","1030264","70080","None","65.2","100.2","WEST   79 STREET    ","150","274.4","Not Available","Not Available","10024"
"Yes","Yes",,"1001543","MANHATTAN","39",,"1","1","145.1","In Compliance ","1","77630","47","190","40.717316","-74.009062","39.07","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001430001","Multifamily Housing","2637905","1001543","77630","ABS","64.7","129.6","HUDSON STREET       ","47","335.1","62.4","125.9","10013"
"No","Yes",,"1012011","MANHATTAN","75",,"2","3","181","In Compliance ","1","60000","47","125.5","40.73469","-74.009371","Not Available","West Village                                                               ","1006370081","Multifamily Housing","2637906","1012011","60000","None","82","138.8","PERRY STREET        ","167","306.4","79.2","136.2","10014"
"Yes","Yes",,"1043245","MANHATTAN","140",,"8","4","174.1","In Compliance ","1","55883","78","66.2","40.773963","-73.958624","Not Available","Upper East Side-Carnegie Hill                                              ","1014130027","Multifamily Housing","2637907","1043245","55883","None","62.3","94.3","EAST   78 STREET    ","167","240.3","62.3","94.2","10075"
"No","Yes",,"1032534","MANHATTAN","177",,"7","6","859.7","In Compliance ","1","238456","65","290","40.792214","-73.971701","Not Available","Upper West Side                                                            ","1012240001","Multifamily Housing","2637909","1032534","238456","None","80.1","114.5","AMSTERDAM AVENUE    ","681","1149.7","80.1","114.5","10025"
"No","Yes",,"1040076","MANHATTAN","8603",,"6","4","394.4","In Compliance ","1","125000","59","159.7","40.753276","-73.966332","29.04","Turtle Bay-East Midtown                                                    ","1013610012","Multifamily Housing","2637917","1040078","125000","Manual","74.8","110.8","MITCHELL PLACE      ","2","554.2","72.1","107.9","10017"
"Yes","Yes",,"3002142","BROOKLYN            ","301",,"2","33","551.3","In Compliance ","1","143418","57","176.8","40.694458","-73.998327","Not Available","Brooklyn Heights-Cobble Hill                                               ","3002520008","Multifamily Housing","2637919","3002142","143418","None","83.1","117.9","GRACE COURT         ","2","728.1","80.1","114.7","11201"
"Yes","Yes",,"1028818","MANHATTAN","161",,"7","6","239.8","In Compliance ","1","58723","92","57.1","40.779852","-73.974497","23.9","Upper West Side                                                            ","1011290045","Multifamily Housing","2637924","1028818","58723","ABS","66.2","91.9","WEST   77 STREET    ","20","296.9","62.4","88.2","10024"
"Yes","Yes",,"1013813","MANHATTAN","81",,"4","3","278.5","In Compliance ","1","101221","84","136.6","40.739974","-73.998658","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007660039","Multifamily Housing","2637925","1013813","101221","None","68.1","105.5","   7 AVENUE         ","100","415.1","68.2","105.8","10011"
